timestamp,rx,ry,ryaw,num_humans,closest_human_dist,human_collision,collision_count,wall_state,human_state,cmd_linear_x,cmd_angular_z,target_x,target_y,target_dist
1767079840.1287315,0.0,0.0,0.0,1,1.1924080680255944,0,0,CLEAR,CLEAR,0.3,-0.2021438784212473,2.792945623397827,-0.07814931869506836,2.794038756221821
1767079840.1784933,0.0,0.0,0.0,1,1.1924080680255944,0,0,CLEAR,CLEAR,0.3,-0.2021438784212473,2.792945623397827,-0.07814931869506836,2.794038756221821
1767079840.2296057,0.0,0.0,0.0,0,inf,0,0,CLEAR,CLEAR,0.5,-0.04196050167435473,2.792945623397827,-0.07814931869506836,2.794038756221821
1767079840.2786436,0.01244824435507888,-5.309742581144914e-05,-0.010255215229349777,0,inf,0,0,CLEAR,CLEAR,0.5,-0.02673681474087029,2.792945623397827,-0.07814931869506836,2.781593912604809
1767079840.3286178,0.01244824435507888,-5.309742581144914e-05,-0.010255215229349777,0,inf,0,0,CLEAR,CLEAR,0.5,-0.02673681474087029,2.792945623397827,-0.07814931869506836,2.781593912604809
1767079840.3786175,0.01244824435507888,-5.309742581144914e-05,-0.010255215229349777,0,inf,0,0,CLEAR,CLEAR,0.5,-0.02673681474087029,2.792945623397827,-0.07814931869506836,2.781593912604809
1767079840.4287376,0.01244824435507888,-5.309742581144914e-05,-0.010255215229349777,0,inf,0,0,CLEAR,CLEAR,0.5,-0.02673681474087029,2.792945623397827,-0.07814931869506836,2.781593912604809
1767079840.4787073,0.059868015154081425,-0.0005544127281250473,-0.015584721194120858,0,inf,0,0,CLEAR,CLEAR,0.5,-0.019198036087411233,2.792945623397827,-0.07814931869506836,2.7341788862683023
1767079840.5286548,0.059868015154081425,-0.0005544127281250473,-0.015584721194120858,0,inf,0,0,CLEAR,CLEAR,0.5,-0.019198036087411233,2.792945623397827,-0.07814931869506836,2.7341788862683023
1767079840.5786042,0.059868015154081425,-0.0005544127281250473,-0.015584721194120858,0,inf,0,0,CLEAR,CLEAR,0.5,-0.019198036087411233,2.792945623397827,-0.07814931869506836,2.7341788862683023
1767079840.6290195,0.0754016270140619,-0.0008018231524581495,-0.016415465173181095,0,inf,0,0,CLEAR,CLEAR,0.5,-0.01805869774334745,2.792945623397827,-0.07814931869506836,2.7186445165464646
1767079840.6786153,0.12043280203983842,-0.001541097242440313,-0.018823770014289153,0,inf,0,0,CLEAR,CLEAR,0.5,-0.014750433739360625,2.792945623397827,-0.07814931869506836,2.673610592423095
1767079840.7286294,0.1356737886046621,-0.0018316816138076078,-0.01940216179702426,0,inf,0,0,CLEAR,CLEAR,0.5,-0.01396536405422186,2.792945623397827,-0.07814931869506836,2.658367541502623
1767079840.7785916,0.1356737886046621,-0.0018316816138076078,-0.01940216179702426,0,inf,0,0,CLEAR,CLEAR,0.5,-0.01396536405422186,2.792945623397827,-0.07814931869506836,2.658367541502623
1767079840.8285856,0.1356737886046621,-0.0018316816138076078,-0.01940216179702426,0,inf,0,0,CLEAR,CLEAR,0.5,-0.01396536405422186,2.792945623397827,-0.07814931869506836,2.658367541502623
1767079840.8785684,0.18309365235374092,-0.002756693628595029,-0.021115169591954797,0,inf,0,0,CLEAR,CLEAR,0.5,-0.01164675072148112,2.792945623397827,-0.07814931869506836,2.610940703784197
1767079840.92858,0.19865632241979964,-0.0030881342938272717,-0.02154994486801343,0,inf,0,0,CLEAR,CLEAR,0.5,-0.011062832192855596,2.792945623397827,-0.07814931869506836,2.59537495529505
1767079840.978605,0.19865632241979964,-0.0030881342938272717,-0.02154994486801343,0,inf,0,0,CLEAR,CLEAR,0.5,-0.011062832192855596,2.792945623397827,-0.07814931869506836,2.59537495529505
1767079841.0286858,0.19865632241979964,-0.0030881342938272717,-0.02154994486801343,0,inf,0,0,CLEAR,CLEAR,0.5,-0.011062832192855596,2.792945623397827,-0.07814931869506836,2.59537495529505
1767079841.078608,0.24539767443802735,-0.0040992185789969805,-0.022855770267065936,0,inf,0,0,CLEAR,CLEAR,0.5,-0.009304879807553002,2.792945623397827,-0.07814931869506836,2.54862393647562
